character,row_type,skill_id,skill_name,level,experience,rank,quest_title,quest_status,quest_difficulty,quest_members,quest_points,quest_userEligible,totalskill,totalxp,combatlevel,timestamp
Jklkh,skill,17,Thieving,64,4393413,412294,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,22,Construction,63,3839021,443457,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,8,Woodcutting,62,3539605,694834,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,19,Farming,62,3345051,393686,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,28,Necromancy,61,3164433,239519,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,3,Constitution,58,2428466,791714,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,6,Magic,58,2392243,698979,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,1,Defence,56,1937433,755743,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,14,Mining,54,1522813,775820,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,20,Runecrafting,50,1075576,566031,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,18,Slayer,49,936462,575926,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,7,Cooking,49,925122,806743,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,10,Fishing,48,833298,813619,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,12,Crafting,47,784632,746940,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,5,Prayer,47,765640,692804,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,27,Archaeology,46,714812,343863,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,9,Fletching,41,453788,725081,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,13,Smithing,40,384224,915464,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,0,Attack,39,361713,1044300,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,2,Strength,39,347801,1022499,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,21,Hunter,32,179388,609454,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,11,Firemaking,29,123546,1044853,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,25,Divination,29,122659,541904,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,15,Herblore,28,116148,683702,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,16,Agility,22,60279,818451,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,23,Summoning,22,57862,612029,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,24,Dungeoneering,14,23100,0,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,4,Ranged,6,5948,0,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,skill,26,Invention,1,0,0,,,,,,,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Buyers and Cellars,COMPLETED,0,true,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Diamond in the Rough,COMPLETED,0,true,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Field of Screams,COMPLETED,0,false,0,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Kili Row,COMPLETED,1,true,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Murder on the Border,COMPLETED,0,true,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Necromancy!,COMPLETED,0,false,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,New Foundations,COMPLETED,0,true,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Rune Mythos,COMPLETED,0,true,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Stolen Hearts,COMPLETED,0,false,3,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,The Jack of Spades,COMPLETED,0,true,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,The Knight's Sword,COMPLETED,1,false,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Unstable Foundations,COMPLETED,0,false,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Violet is Blue,COMPLETED,0,false,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Lost City,STARTED,2,true,3,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,'Phite Club,NOT_STARTED,3,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Christmas Reunion,NOT_STARTED,0,false,0,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Clockwork Syringe,NOT_STARTED,3,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Fairy Tale I - Growing Pains,NOT_STARTED,2,true,2,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Fairy Tale II - Cure a Queen,NOT_STARTED,2,true,2,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Fairy Tale III - Battle at Ork's Rift,NOT_STARTED,2,true,2,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Guild of Our Own (miniquest),NOT_STARTED,3,true,0,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Shadow over Ashdale,NOT_STARTED,0,false,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Soul's Bane,NOT_STARTED,0,false,1,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Tail of Two Cats,NOT_STARTED,1,true,2,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,A Void Dance,NOT_STARTED,2,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Aftermath,NOT_STARTED,2,true,0,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,All Fired Up,NOT_STARTED,1,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Alpha vs Omega,NOT_STARTED,4,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Ancient Awakening,NOT_STARTED,2,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Animal Magnetism,NOT_STARTED,1,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Another Slice of H.A.M.,NOT_STARTED,1,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,As a First Resort,NOT_STARTED,2,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Azzanadra's Quest,NOT_STARTED,2,true,3,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Back to my Roots,NOT_STARTED,3,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Back to the Freezer,NOT_STARTED,3,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Bar Crawl (miniquest),NOT_STARTED,1,true,0,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Battle of Forinthry,NOT_STARTED,2,true,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Battle of the Monolith,NOT_STARTED,1,true,0,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Beneath Cursed Tides,NOT_STARTED,1,false,1,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Beneath Scabaras' Sands,NOT_STARTED,2,true,2,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Benedict's World Tour (miniquest),NOT_STARTED,1,false,0,true,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Between a Rock...,NOT_STARTED,2,true,2,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Big Chompy Bird Hunting,NOT_STARTED,1,true,2,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Biohazard,NOT_STARTED,0,true,3,false,1216,3483436,76,2025-11-20T01:54:25.205Z
Jklkh,quest,,,,,,Birthright of the Dwarves,NOT_STARTED,4,true,2,false,1216,3483436,76,2025-11-20T01:54:25.205Z
