character,row_type,skill_id,skill_name,level,experience,rank,quest_title,quest_status,quest_difficulty,quest_members,quest_points,quest_userEligible,totalskill,totalxp,combatlevel,timestamp
Willy Tired,skill,28,Necromancy,87,39845250,182314,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,17,Thieving,84,29810733,259296,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,1,Defence,79,19658325,469778,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,3,Constitution,79,19129986,515313,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,19,Farming,78,16940292,291267,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,6,Magic,75,12933069,501885,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,14,Mining,75,12317341,447616,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,25,Divination,74,11276898,382823,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,18,Slayer,72,9448810,410158,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,22,Construction,71,8987197,386732,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,8,Woodcutting,71,8629751,570570,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,12,Crafting,71,8461651,467459,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,13,Smithing,70,7401699,511385,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,7,Cooking,69,7000703,512752,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,21,Hunter,67,5527325,389797,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,15,Herblore,64,4355369,442480,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,10,Fishing,64,4178548,566150,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,0,Attack,60,2975047,701591,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,2,Strength,60,2947529,733747,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,9,Fletching,59,2682279,616306,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,16,Agility,58,2330616,504577,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,5,Prayer,58,2263256,552918,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,20,Runecrafting,55,1669320,500752,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,11,Firemaking,54,1551998,698147,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,4,Ranged,51,1219988,702540,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,27,Archaeology,51,1157155,325921,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,24,Dungeoneering,45,654351,572593,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,23,Summoning,43,512992,514207,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,skill,26,Invention,1,0,0,,,,,,,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,A Fairy Tale I - Growing Pains,COMPLETED,2,true,2,true,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,A Fairy Tale II - Cure a Queen,COMPLETED,2,true,2,true,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,A Fairy Tale III - Battle at Ork's Rift,COMPLETED,2,true,2,true,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,A Guild of Our Own (miniquest),COMPLETED,3,true,0,true,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,As a First Resort,COMPLETED,2,true,1,true,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,Big Chompy Bird Hunting,COMPLETED,1,true,2,true,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,Biohazard,COMPLETED,0,true,3,true,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,Buyers and Cellars,COMPLETED,0,true,1,true,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,Civil War I (miniquest),COMPLETED,1,true,0,true,1845,24586734,108,2025-11-17T23:22:29.483Z
Willy Tired,quest,,,,,,Civil War II (miniquest),COMPLETED,1,true,0,true,1845,24586734,108,2025-11-17T23:22:29.483Z
